date,data
2022-01-01,57
2022-01-02,120
2022-01-03,63
2022-01-04,127
2022-01-05,132
2022-01-06,131
2022-01-07,130
2022-01-08,126
2022-01-09,61
2022-01-10,137
2022-01-11,134
2022-01-12,129
2022-01-13,66
2022-01-14,117
2022-01-15,126
2022-01-16,117
2022-01-17,119
2022-01-18,126
2022-01-19,149
2022-01-20,63
2022-01-21,128
2022-01-22,117
2022-01-23,63
2022-01-24,63
2022-01-25,122
2022-01-26,119
2022-01-27,60
2022-01-28,124
2022-01-29,57
2022-01-30,118
2022-01-31,
2022-02-01,58
2022-02-02,57
2022-02-03,63
2022-02-04,118
2022-02-05,63
2022-02-06,114
2022-02-07,120
2022-02-08,127
2022-02-09,132
2022-02-10,129
2022-02-11,120
2022-02-12,73
2022-02-13,114
2022-02-14,122
2022-02-15,124
2022-02-16,117
2022-02-17,121
2022-02-18,132
2022-02-19,129
2022-02-20,120
2022-02-21,136
2022-02-22,135
2022-02-23,123
2022-02-24,130
2022-02-25,124
2022-02-26,123
2022-02-27,130
2022-02-28,123
2022-03-01,137
2022-03-02,134
2022-03-03,137
2022-03-04,131
2022-03-05,127
2022-03-06,60
2022-03-07,131
2022-03-08,123
2022-03-09,121
2022-03-10,126
2022-03-11,141
2022-03-12,124
2022-03-13,124
2022-03-14,124
2022-03-15,123
2022-03-16,129
2022-03-17,117
2022-03-18,117
2022-03-19,126
2022-03-20,128
2022-03-21,118
2022-03-22,128
2022-03-23,119
2022-03-24,124
2022-03-25,128
2022-03-26,120
2022-03-27,122
2022-03-28,141
2022-03-29,130
2022-03-30,132
2022-03-31,131
2022-04-01,124
2022-04-02,119
2022-04-03,130
2022-04-04,120
2022-04-05,128
2022-04-06,132
2022-04-07,132
2022-04-08,117
2022-04-09,124
2022-04-10,122
2022-04-11,132
2022-04-12,134
2022-04-13,138
2022-04-14,124
2022-04-15,121
2022-04-16,127
2022-04-17,120
2022-04-18,124
2022-04-19,123
2022-04-20,122
2022-04-21,119
2022-04-22,128
2022-04-23,67
2022-04-24,60
2022-04-25,127
2022-04-26,130
2022-04-27,127
2022-04-28,122
2022-04-29,124
2022-04-30,114
2022-05-01,122
2022-05-02,118
2022-05-03,117
2022-05-04,132
2022-05-05,130
2022-05-06,133
2022-05-07,131
2022-05-08,60
2022-05-09,122
2022-05-10,132
2022-05-11,129
2022-05-12,123
2022-05-13,122
2022-05-14,128
2022-05-15,120
2022-05-16,122
2022-05-17,124
2022-05-18,130
2022-05-19,132
2022-05-20,143
2022-05-21,74
2022-05-22,120
2022-05-23,122
2022-05-24,73
2022-05-25,131
2022-05-26,136
2022-05-27,127
2022-05-28,128
2022-05-29,124
2022-05-30,131
2022-05-31,64
2022-06-01,115
2022-06-02,119
2022-06-03,57
2022-06-04,60
2022-06-05,60
2022-06-06,117
2022-06-07,129
2022-06-08,126
2022-06-09,133
2022-06-10,120
2022-06-11,124
2022-06-12,124
2022-06-13,120
2022-06-14,126
2022-06-15,122
2022-06-16,122
2022-06-17,58
2022-06-18,67
2022-06-19,122
2022-06-20,122
2022-06-21,122
2022-06-22,117
2022-06-23,122
2022-06-24,121
2022-06-25,63
2022-06-26,63
2022-06-27,126
2022-06-28,117
2022-06-29,119
2022-06-30,60
2022-07-01,59
2022-07-02,61
2022-07-03,57
2022-07-04,122
2022-07-05,120
2022-07-06,120
2022-07-07,121
2022-07-08,116
2022-07-09,
2022-07-10,120
2022-07-11,130
2022-07-12,127
2022-07-13,57
2022-07-14,124
2022-07-15,58
2022-07-16,114
2022-07-17,58
2022-07-18,59
2022-07-19,119
2022-07-20,115
2022-07-21,119
2022-07-22,122
2022-07-23,61
2022-07-24,114
2022-07-25,116
2022-07-26,115
2022-07-27,116
2022-07-28,115
2022-07-29,117
2022-07-30,60
2022-07-31,114
2022-08-01,122
2022-08-02,122
2022-08-03,116
2022-08-04,118
2022-08-05,57
2022-08-06,114
2022-08-07,58
2022-08-08,132
2022-08-09,58
2022-08-10,127
2022-08-11,115
2022-08-12,61
2022-08-13,115
2022-08-14,57
2022-08-15,129
2022-08-16,61
2022-08-17,118
2022-08-18,121
2022-08-19,117
2022-08-20,118
2022-08-21,114
2022-08-22,124
2022-08-23,119
2022-08-24,117
2022-08-25,122
2022-08-26,121
2022-08-27,121
2022-08-28,114
2022-08-29,120
2022-08-30,126
2022-08-31,122
2022-09-01,128
2022-09-02,124
2022-09-03,
2022-09-04,58
2022-09-05,123
2022-09-06,68
2022-09-07,61
2022-09-08,114
2022-09-09,120
2022-09-10,61
2022-09-11,57
2022-09-12,
2022-09-13,119
2022-09-14,124
2022-09-15,129
2022-09-16,59
2022-09-17,127
2022-09-18,
2022-09-19,122
2022-09-20,129
2022-09-21,117
2022-09-22,118
2022-09-23,60
2022-09-24,118
2022-09-25,67
2022-09-26,124
2022-09-27,133
2022-09-28,122
2022-09-29,124
2022-09-30,117
2022-10-01,61
2022-10-02,61
2022-10-03,120
2022-10-04,117
2022-10-05,63
2022-10-06,
2022-10-07,61
2022-10-08,117
2022-10-09,119
2022-10-10,124
2022-10-11,57
2022-10-12,122
2022-10-13,124
2022-10-14,128
2022-10-15,60
2022-10-16,122
2022-10-17,58
2022-10-18,122
2022-10-19,133
2022-10-20,124
2022-10-21,118
2022-10-22,120
2022-10-23,119
2022-10-24,59
2022-10-25,118
2022-10-26,118
2022-10-27,115
2022-10-28,115
2022-10-29,122
2022-10-30,60
2022-10-31,123
2022-11-01,115
2022-11-02,123
2022-11-03,120
2022-11-04,61
2022-11-05,
2022-11-06,61
2022-11-07,127
2022-11-08,64
2022-11-09,61
2022-11-10,120
2022-11-11,133
2022-11-12,118
2022-11-13,
2022-11-14,57
2022-11-15,118
2022-11-16,130
2022-11-17,122
2022-11-18,121
2022-11-19,121
2022-11-20,117
2022-11-21,117
2022-11-22,122
2022-11-23,125
2022-11-24,116
2022-11-25,114
2022-11-26,120
2022-11-27,125
2022-11-28,124
2022-11-29,114
2022-11-30,131
2022-12-01,127
2022-12-02,116
2022-12-03,61
2022-12-04,114
2022-12-05,63
2022-12-06,115
2022-12-07,115
2022-12-08,117
2022-12-09,115
2022-12-10,
2022-12-11,
2022-12-12,119
2022-12-13,117
2022-12-14,63
2022-12-15,117
2022-12-16,
2022-12-17,120
2022-12-18,
2022-12-19,57
2022-12-20,117
2022-12-21,
2022-12-22,59
2022-12-23,57
2022-12-24,114
2022-12-25,114
2022-12-26,
2022-12-27,58
2022-12-28,115
2022-12-29,59
2022-12-30,115
2022-12-31,57
